Stofgroep	Stofnaam	CAS-nummer	Afdeling	Branche	Subbranche	Compartiment	Emissiestatus	
ZZS PFAS	tridecafluorhexaansulfonzuur, natriumzout	82382-12-5	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	tridecafluorhexaansulfonzuur, cesiumzout (1:1)	92011-17-1	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	N,N,N-tributyl-1-butylamine, zout met tridecafluorhexaansulfonzuur	108427-54-9	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	N,N,N-triethyl-ethylamine, zout met tridecafluorhexaansulfonzuur (1:1)	108427-55-0	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	trifenylsulfonium, tridecafluorhexaansulfonaat (1:1)	144116-10-9	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	difenyljodonium, tridecafluorhexaansulfonaat (1:1) 	153443-35-7	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	N,N,N-trimethyl-methylamine, zout met tridecafluorhexaansulfonzuur (1:1)	189274-31-5	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	tridecafluorhexaansulfonzuur, verbinding met 2-methyl-2-propaanamine (1:1)	202189-84-2	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	bis[4-(1,1-dimethylethyl)fenyl]-jodonium, tridecafluorhexaansulfonaat (1:1)	213740-81-9	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	tridecafluorhexaansulfonzuur, galliumzout (9CI)	341035-71-0	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	bis(4-methylfenyl)fenyl-sulfonium, tridecafluorhexaansulfonaat (1:1)	341548-85-4	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	tridecafluorhexaansulfonzuur, scandium(3+) zout (3:1)	350836-93-0	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	(thiodi-4,1-fenyleen)bis[difenyl-sulfonium, zout met tridecafluorhexaansulfonzuur	421555-73-9	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	bis[4-(1,1-dimethylpropyl)fenyl]-jodonium, zout met tridecafluorhexaansulfonzuur	421555-74-0	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
