Stofgroep	Stofnaam	CAS-nummer	Afdeling	Branche	Subbranche	Compartiment	Emissiestatus	
ZZS lood en loodverbindingen	bis(diethyldithiocarbamaat-S,S')lood	17549-30-3	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	bis(pentaan-2,4-dionaat-O,O')lood	15282-88-9	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	bis[2-(nitro-kO)-4-nitrofenolaat-kO]-lood	625080-35-5	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	messingstaaf (met lood)		3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	gegloeid lood-zinkerts concentraat	94551-62-9	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	cesiumloodtribromide (laag watergehalte)	15243-48-8	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	cesiumloodtriiodide (laag watergehalte)	18041-25-3	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	chloortriethyllood	1067-14-7	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	chloortrifenyllood	1153-06-6	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	citroenzuur, loodzout	14450-60-3	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	concentraten van lood- en zinkverbindingen met zwavel afkomstig van hydrometallurgie (uitloging met heet zuur, uitloging met superheet zuur en flotatie) 		3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	koper lood resorcylzuur salicylzuur complex 	68411-07-4	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	cyclo-di-μ-oxo(μ-ftalaat)trilood	17976-43-1	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	diloodchromaatoxide	18454-12-1	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	difenyllooddichloride	2117-69-3	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	dinatriumlood N,N'-ethyleenbis[N-(carboxylaatmethyl)aminoacetaat]	22904-40-1	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	D-valine, 3-mercapto-, lood complex	53513-80-7	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	ferraat(4-), hexakis(cyaan-κC)-, lood(2+) (1:2), (OC-6-11)-	14402-61-0	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	filterkoek van koperprecipitatieresidu, zuivering van looddinitraatoplossing, lood- en bismutverbindingen 		3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	vliegas, loodraffinage	69029-67-0	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	frits, chemicaliën	65997-18-4	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	hexafenyldilood	3124-01-4	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	loodbevattende uitloogresten van zinkerts	91053-49-5	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	lood - goud gravimetrisch concentraat 		3.9 Sport en recreatie			Water	Emissie mogelijk
